"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-0.175369703897755,0.00940164135669068,107,-1.82249542355533,0.0711725329685678,-0.00212672268318651
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.543551377785341,0.0083168409430882,137,-6.38528290996909,2.46801324125731e-09,-0.00511234992223025
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.304243198503204,0.0153864994399666,67,-2.50885368660894,0.0145381088723326,-0.00345433670599653
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-0.558314851781516,0.0288964434214977,39,-3.53109316625781,0.00108042071882871,-0.00722486678506177
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",-0.760092452859999,0.0169588193216759,75,-6.62633237952938,4.61822780695377e-09,-0.00874641716944303
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-0.69869925063701,0.0318997518312913,38,-4.36337542171059,9.47353388979819e-05,-0.00916837544777411
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",-0.549888309379654,0.0143898572049526,79,-4.91835055922137,4.65858140910204e-06,-0.00689391406713133
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-0.282660374417886,0.0133326723542696,77,-2.49638883324546,0.0146833891948807,-0.00570487421505086
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.35507219860777,0.00513544991841583,206,-5.1085993294053,7.38008954221564e-07,-0.00751975357946923
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",-0.193815415686219,0.0254695551919703,39,-1.22579631844156,0.227626053767789,-0.00169217800232485
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",-0.272008098261759,0.00934229011495486,110,-2.86578314125783,0.0049849860477458,-0.00303266395588583
