"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.0650743130214127,0.0073685098022618,135,-0.758890377635925,0.449241100533545,-0.0032297394054659
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.112487214475229,0.0159734394715904,62,-0.892839585527522,0.375395534745866,-0.0120049279801347
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.864856860849676,0.0343497173719845,39,5.46983506061657,2.81879380700674e-06,0.041258314245423
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.357513061953298,0.0138169843471898,76,3.1371643866677,0.00242722103458307,0.0161401808648226
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.0956509619198814,0.0257583218784128,38,0.597340065734541,0.553823390387775,0.00110324800955706
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",0.562765789873031,0.0148506752195604,77,4.97021287990871,3.94802028624233e-06,0.0226850384110021
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",0.103614799567445,0.0128893335044192,77,0.915101131992167,0.362995442465184,0.00650630710356144
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.0286484197958277,0.00483290031873623,206,-0.41217898424978,0.680636835760357,-0.00145178190203412
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",0.106816152911679,0.0257873037246519,38,0.667066661130055,0.50876019126946,0.00534127105631584
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",-0.10728315080766,0.0091432257929419,109,-1.12519517826646,0.26297788639967,-0.00486998853592753
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",0.309921902518344,0.0112690945465623,92,2.98877859106941,0.00359179683668926,0.0175758234656465
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",0.132128211663478,0.0258648444143255,38,0.825140417370381,0.41444195626958,0.00697900578464744
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",0.831636172202571,0.0177080179139194,75,7.250036064848,3.14693063187394e-10,0.0339088643499566
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",0.240325383879439,0.00340688127506093,301,4.17640989622829,3.88302847300976e-05,0.0135594850632187
"TOP3T_0",380,204,176,277,42,12.5,78,31.1,1080887,2023835,1546874,"Aldo/TOP3T_0/ASY_DescriptiveInfo.Rdata",0.995908541382094,0.00394701032031373,378,19.3882701353259,1.24735665532254e-58,0.0540474099879044
"TOP3T_GE750",386,178,208,275,23,12.01,88,42,1190360,1981293,1545960,"Aldo/TOP3T_GE750/ASY_DescriptiveInfo.Rdata",0.216321547015546,0.00267905106243874,381,4.22796576034173,2.95554648516505e-05,0.0108318772443587
"Anna",165,92,73,NA,NA,8,17,15,1211620,1999940,1549165,"Anna/ASY_DescriptiveInfo.Rdata",0.546980839406629,0.00709625937863574,161,6.96192949302368,8.06622326511343e-11,0.0234145650828767
"AnneU",30,16,14,28,2,19,40,26.5,1070000,1790000,1425000,"AnneU/ASY_DescriptiveInfo.Rdata",0.139639529708662,0.0348189516940906,28,0.7519818810719,0.458337026085944,0.00878869936329559
"BIG",2326,973,1353,1995,103,17.39,82.66,22.47,1076480,2086070,1610760,"BIG/ASY_DescriptiveInfo.Rdata",0.321983012009356,0.000453182477385312,2320,15.5120976116222,1.03647072125325e-51,0.0143546530036515
"BILGIN",453,221,232,248,205,18.08,57.18,24.03,1111532,1835334,1396760,"BILGIN/ASY_DescriptiveInfo.Rdata",-0.291230406292134,0.0023268026222646,447,-6.16418583415431,1.58429159331667e-09,-0.0127963337796712
"CAMH_ASD",146,77,69,139,6,18,86,40,1123430,1833770,1471570,"CAMH_ASD/ASY_DescriptiveInfo.Rdata",0.0229578298772307,0.00689836917914714,144,0.276448879790497,0.782599703752247,0.000629655675973819
"Christoph",85,44,41,NA,NA,21,75,35,1240000,1930000,1570000,"Christoph/ASY_DescriptiveInfo.Rdata",0.0299486415508314,0.0117699818890044,84,0.276112832213419,0.78313958756919,0.00301039098311734
"ClarissaBr",398,149,249,110,5,18,55,32,811432,1900000,1330000,"ClarissaBr/ASY_DescriptiveInfo.Rdata",-0.278769573212296,0.00261676634124555,396,-5.55444439658364,5.11746002787451e-08,-0.0148780235995429
"Colm_UCSF",88,46,42,NA,NA,13,17,15,1230000,1810000,1560000,"Colm_UCSF/ASY_DescriptiveInfo.Rdata",0.69802191415409,0.0146307917214079,84,6.43544406970831,7.21859871365739e-09,0.0351906957770655
"ClinG_sample",323,132,191,307,15,18,58,24,1062340,2081450,1581790,"Egle/ClinG_sample/ASY_DescriptiveInfo.Rdata",0.285072760337589,0.00324184809764251,320,5.10749837575737,5.61876371302854e-07,0.0140656531190078
"HMS_sample",55,21,34,44,7,19,64,41,1155270,1921180,1525650,"Egle/HMS_sample/ASY_DescriptiveInfo.Rdata",0.0415801664293124,0.0188842350022669,52,0.302708180819967,0.763319894324027,0.00216541810443374
