"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-0.751220104681941,0.0474876230681175,26,-3.903454166929,0.000601067574656695,-0.139305635833914
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-1.07892836053977,0.0465306824584859,33,-6.29117936829172,4.10534207366264e-07,-0.221726897586096
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-0.864978090780398,0.0443255983472597,30,-4.81599418847585,3.9153362389957e-05,-0.222695073725351
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-0.0788765320842774,0.0455959433480373,21,-0.369963729168313,0.715114430029914,-0.00874067369519321
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-0.585280296536682,0.0108451528958985,107,-6.08241126162307,1.86554098092331e-08,-0.149209581768497
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.601791078076775,0.00888027256260454,132,-6.94019327683483,1.593121058071e-10,-0.143940545826393
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.687128696888668,0.0190165065083686,64,-5.53980866056895,6.09690309889626e-07,-0.17149728160455
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-1.14741473951836,0.0414570073057997,39,-7.25688799545363,9.53814493850479e-09,-0.283494357027849
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",-0.660962261472189,0.0162458074072695,74,-5.72410109377728,2.08897840655814e-07,-0.150777135800367
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-0.447425292740025,0.0289498604287302,37,-2.7581147398491,0.00898016757010497,-0.106403031974813
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",-0.443287007546413,0.0142630089029835,76,-3.8898277046134,0.00021336010969317,-0.104421446553614
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-0.653323393370584,0.0168529962244809,71,-5.54363282112175,4.75162751229769e-07,-0.15521251524955
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.65005830347857,0.00588003834446951,205,-9.33009187370714,1.77370224847135e-17,-0.14871845092879
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",-0.990374805241881,0.0372605281857237,39,-6.26368024362002,2.22888811039036e-07,-0.248103202236713
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",-0.643201054095148,0.0111745722036533,107,-6.68434143104793,1.08359401489877e-09,-0.157799058068725
